group,replicate,fastq_1,fastq_2,antibody,control
ARF34,1,/scratch.global/zhoux379/barn/data/fastq/cd18a/SRR6830279.fq.gz,,ARF34,halo
ARF16,1,/scratch.global/zhoux379/barn/data/fastq/cd18a/SRR6830280.fq.gz,,ARF16,halo
ARF18,1,/scratch.global/zhoux379/barn/data/fastq/cd18a/SRR6830281.fq.gz,,ARF18,halo
ARF35,1,/scratch.global/zhoux379/barn/data/fastq/cd18a/SRR6830282.fq.gz,,ARF35,halo
ARF27,1,/scratch.global/zhoux379/barn/data/fastq/cd18a/SRR6830283.fq.gz,,ARF27,halo
ARF4,1,/scratch.global/zhoux379/barn/data/fastq/cd18a/SRR6830284.fq.gz,,ARF4,halo
ARF29,1,/scratch.global/zhoux379/barn/data/fastq/cd18a/SRR6830285.fq.gz,,ARF29,halo
ARF10,1,/scratch.global/zhoux379/barn/data/fastq/cd18a/SRR6830286.fq.gz,,ARF10,halo
ARF13,1,/scratch.global/zhoux379/barn/data/fastq/cd18a/SRR6830287.fq.gz,,ARF13,halo
ARF14,1,/scratch.global/zhoux379/barn/data/fastq/cd18a/SRR6830288.fq.gz,,ARF14,halo
ARF25,1,/scratch.global/zhoux379/barn/data/fastq/cd18a/SRR6830289.fq.gz,,ARF25,halo
ARF39,1,/scratch.global/zhoux379/barn/data/fastq/cd18a/SRR6830290.fq.gz,,ARF39,halo
ARF36,1,/scratch.global/zhoux379/barn/data/fastq/cd18a/SRR6830291.fq.gz,,ARF36,halo
ARF7,1,/scratch.global/zhoux379/barn/data/fastq/cd18a/SRR6830292.fq.gz,,ARF7,halo
halo,1,/scratch.global/zhoux379/barn/data/fastq/cd18a/SRR6830293.fq.gz,,,
